y,Athlete,Non-Athlete,x1,x2,Dataset
Academic,3.0,2.75,2.75,3.0,Occupation
Accountant,4.25,3.25,3.25,4.25,Occupation
Administrator,2.5,3.0,2.5,3.0,Occupation
Auditor,3.0,4.0,3.0,4.0,Occupation
Civil Engineer,4.0,4.0,4.0,4.0,Occupation
Civil Servant,3.5,3.5,3.5,3.5,Occupation
Civil servant,3.0,3.0,3.0,3.0,Occupation
Civil service,4.0,2.5,2.5,4.0,Occupation
Coach,4.0,4.0,4.0,4.0,Occupation
Doctor,4.0,4.0,4.0,4.0,Occupation
Engineer,4.0,4.0,4.0,4.0,Occupation
Football Coach,4.0,3.0,3.0,4.0,Occupation
Full Time Student,3.0,1.0,1.0,3.0,Occupation
Home maker,4.0,5.0,4.0,5.0,Occupation
IT Manager,2.0,4.0,2.0,4.0,Occupation
Joiner,3.0,4.0,3.0,4.0,Occupation
Journalist,2.0,2.5,2.0,2.5,Occupation
Lecturer,3.75,3.5,3.5,3.75,Occupation
Local government,5.0,3.0,3.0,5.0,Occupation
Management,4.0,3.0,3.0,4.0,Occupation
Mental health nurse,4.0,4.0,4.0,4.0,Occupation
Nurse,4.0,3.5,3.5,4.0,Occupation
Optometrist,4.0,3.0,3.0,4.0,Occupation
PE Teacher,4.0,4.0,4.0,4.0,Occupation
PE teacher,4.0,4.0,4.0,4.0,Occupation
Physiotherapist,4.0,4.0,4.0,4.0,Occupation
Project Manager,3.0,2.25,2.25,3.0,Occupation
Psychologist,5.0,4.0,4.0,5.0,Occupation
Researcher,4.0,2.25,2.25,4.0,Occupation
Retired,4.0,4.0,4.0,4.0,Occupation
Sales,2.75,3.75,2.75,3.75,Occupation
Secretary,4.0,1.0,1.0,4.0,Occupation
Sports Coach,4.0,4.0,4.0,4.0,Occupation
Sports Development Officer,5.0,5.0,5.0,5.0,Occupation
Student,3.75,3.25,3.25,3.75,Occupation
Teacher,3.75,3.75,3.75,3.75,Occupation
Unemployed,3.25,2.5,2.5,3.25,Occupation
Youth worker,2.0,5.0,2.0,5.0,Occupation
student,3.75,4.0,3.75,4.0,Occupation
Female,3.75,3.5,3.5,3.75,Gender
Male,3.5,3.75,3.5,3.75,Gender
1,3.5,3.5,3.5,3.5,Age Group
2,3.75,3.5,3.5,3.75,Age Group
3,3.5,3.5,3.5,3.5,Age Group
4,3.5,3.5,3.5,3.5,Age Group
5,4.0,3.5,3.5,4.0,Age Group
6,4.25,4.0,4.0,4.25,Age Group
7,4.0,3.75,3.75,4.0,Age Group
1,3.5,3.5,3.5,3.5,Country During Lockdown
2,3.75,3.75,3.75,3.75,Country During Lockdown
4,4.0,2.0,2.0,4.0,Country During Lockdown
